id,LV1,EPS,FR,HG,LV2,MATH,SPC,SES,SVT,SPE1,SPE2,SPE3,moy_SPE1,moy_SPE2,moy_SPE3
63,14.92,10.75,9.4,8,10.17,8.62,9.58,12.34,10.51,HLP,LLCE,LCA,14.5,13.98,15.12
64,8.55,12.25,9.57,10.97,12.32,11.21,8.74,20,11.83,SES,SVT,LCA,17.51,13.53,18.43
65,18.77,16.17,18.61,15.83,19.22,17.5,17.34,20,16.72,SVT,SPC,MATH,12.91,16.25,16.28
66,11.68,12.25,10.98,8.3,11.5,10.17,9.46,11.86,14.03,SVT,SES,MATH,13.24,10.8,10.08
67,14,13.8,12.87,10.67,13.67,11.17,11.7,10,10.8,SPC,MATH,LLCE,11.75,13.01,12.83
68,12.11,15.44,8.98,9.17,16.34,9.3,8.29,16.5,11.92,SVT,SPC,MATH,10.78,6.05,8.91
69,8.09,13.2,12.91,13.48,14.54,11.33,12.38,20,13.21,SES,HLP,HGGSP,10.03,13.5,4
70,16.28,11.92,16.01,14.35,16.55,18.5,16.16,16.44,14.97,SES,HLP,HGGSP,15.89,17.38,14.77
71,13.44,10,9.76,9.11,15.56,8.59,9.41,20,8.59,LLCE,HLP,HGGSP,13.18,11.07,11.31
72,12.85,14.5,12.57,13.32,14.07,14.08,16.65,13.64,13.37,SVT,SPC,MATH,8.93,10.33,11.22
73,9.87,13.22,8.45,9.77,13.81,11.21,10.85,17.5,11.76,SVT,SPC,MATH,9.53,8.25,8.92
74,12.1,14.55,9.76,11.98,14.9,4.46,13.74,20,9.57,LLCE,HLP,HGGSP,12.65,13.13,8.04
75,11.07,15.91,9.57,9.11,12.17,12.17,10.5,11.96,10.47,MATH,SVT,NSI,13.32,9.54,7.25
76,11.24,13.67,10.03,11.57,11.73,11.09,11.44,10.22,11.53,MATH,HLP,SVT,12.49,12.09,8.65
77,12.57,11.5,12.31,10.81,13,13.17,10.89,13.33,12.83,MATH,SES,SVT,9.66,12.72,9.98
78,12.84,15.03,13.43,14.45,16.8,12.23,13.13,20,15.02,HGGSP,SPC,SVT,12.31,7.4,9.97
79,17.13,12.25,16.04,13,14.59,13,13.51,13,14.29,SES,LLCE,HGGSP,13.69,17.66,14.75
80,9.55,13.1,11.15,8.17,9.54,5.5,7.1,10,9.99,SES,HLP,HGGSP,5.75,14.13,7
81,12.83,8,11.07,11.16,15.17,5,7.9,10.82,11.17,SES,HLP,HGGSP,10.56,16,6.5
82,12.68,15,11.26,11.71,12.78,10.65,12.27,12.78,13.55,SES,HLP,HGGSP,12.86,16.19,12
83,12.47,17.75,11.65,12,10.87,11.67,12.31,16,11.95,SPC,NSI,MATH,9,11.75,11.66
84,13.63,16.17,12.29,9.71,10.83,11.17,11.54,13.61,13.1,SES,LLCE,HLP,9.41,9.7,15.63
85,14.06,10.34,12.11,10.83,13.62,9.55,9.25,10.06,10.64,SES,LLCE,HLP,17.33,12.54,12.17
86,13.66,16.13,14.84,15.84,16.13,10.95,15.08,20,14.27,SES,SPC,HLP,15.1,8.5,14.11
87,12.94,14.79,9.31,10.93,10.83,8,7.44,10.25,10.77,NSI,LLCE,HGGSP,7.25,12.09,7.25
88,14.31,14.48,13.66,13.13,14.02,16.17,13.5,16.46,16.57,HGGSP,HLP,LLCE,12.2,11.63,15.19
89,14.89,12.81,12.24,12.15,14.29,12.14,13.79,20,11.58,SVT,SPC,MATH,12.28,6.63,12.75
90,12.16,16.82,13.92,10.01,14.44,12.33,13,13.11,12.7,MATH,HLP,HGGSP,11,12,13.86
91,13.64,14.67,13.54,12.7,13.23,11.74,11.7,13.33,12.55,SES,HLP,HGGSP,13.5,13.38,12.1
92,12.48,14.77,12.45,10.63,13,4.67,7.95,10.97,12.07,SVT,SES,HGGSP,7.73,10.9,11.25
93,15.18,11.21,10.52,10.46,17.16,12.11,14.1,20,10.85,SPC,MATH,LLCE,10.25,10.76,12.72
94,14.2,10,9.61,7.34,11.95,9.08,8.48,9.41,12,SPC,MATH,LLCE,4.85,8.42,12.8
95,10.66,15,10.34,10.52,13.67,9.21,10.03,9.33,10.86,SVT,MATH,HGGSP,11.9,12,8.97
96,11.49,13,10.18,10.57,11.17,10.97,7.93,8.06,12.51,SES,SVT,MATH,11.22,8.36,9.4
97,16.75,11.32,14.34,10.77,14.06,9.67,9.38,11.64,11.47,NSI,LLCE,HLP,12.25,16.93,12.8
98,15.42,14.33,14.24,13.55,15.11,14.24,14.6,15.17,14.32,SES,MATH,HGGSP,14.13,12.57,16.5
99,14.62,16.33,15.14,13.33,15.5,16.55,17.47,14.67,15.69,SVT,SPC,MATH,15.66,16.75,17.25
100,15.84,13.67,14.09,13.67,16.33,14.15,13.07,14.84,13.05,MATH,LLCE,HGGSP,15.33,16.12,12
